t_N1000,I_N1000,t_N2500,I_N2500,t_N5000,I_N5000,t_N7500,I_N7500,t_N10000,I_N10000,t_N12500,I_N12500,t_N15000,I_N15000,t_N20000,I_N20000
1.34,0.0006636033605751283,0.536,0.00030352876009216,0.268,0.00023386023844954902,0.17866666666666667,0.00021439173075089022,0.134,0.00020527391392010126,0.1072,0.00019999041233720763,0.08933333333333333,0.00019654384148866803,0.067,0.00019231902946157198
1.36,0.0006766412306578685,0.544,0.00030590051472124003,0.272,0.00023477216633520912,0.18133333333333332,0.00021494871362560695,0.136,0.00020567375669393708,0.10880000000000001,0.00020030199327417505,0.09066666666666666,0.00019679898471373282,0.068,0.00019250624344894948
1.3800000000000001,0.0006899351985346762,0.552,0.0003082908002066362,0.276,0.00023568764996770137,0.184,0.00021550714342117127,0.138,0.00020607437824852884,0.11040000000000001,0.00020061405961568446,0.092,0.0001970544591312299,0.069,0.00019269363966919808
1.4000000000000001,0.0007034902923205687,0.56,0.0003106997613029889,0.28,0.00023660670320926815,0.18666666666666665,0.00021606702389583455,0.14,0.00020647578010051567,0.112,0.00020092661211783624,0.09333333333333332,0.0001973102651710135,0.07,0.00019288121829967882
1.42,0.0007173116387586094,0.5680000000000001,0.0003131275438952339,0.28400000000000003,0.00023752933997617695,0.18933333333333333,0.00021662835881760845,0.14200000000000002,0.00020687796376948873,0.1136,0.00020123965153790786,0.09466666666666666,0.00019756640326349444,0.07100000000000001,0.00019306897951792664
1.44,0.0007314044651508929,0.5760000000000001,0.0003155742950074187,0.28800000000000003,0.00023845557423893152,0.192,0.0002171911519642863,0.14400000000000002,0.00020728093077799773,0.11520000000000001,0.0002015531786343561,0.096,0.00019782287383964214,0.07200000000000001,0.00019325692350164825
1.46,0.0007457741013271736,0.584,0.00031804016281158866,0.292,0.00023938542002248318,0.19466666666666665,0.00021775540712347377,0.146,0.00020768468265155705,0.1168,0.0002018671941668187,0.09733333333333333,0.0001980796773309855,0.073,0.00019344505042872333
1.48,0.0007604259816518966,0.592,0.0003205252966367464,0.296,0.00024031889140644215,0.19733333333333333,0.0002183211280926101,0.148,0.00020808922091864992,0.1184,0.00020218169889611652,0.09866666666666667,0.00019833681416961304,0.074,0.00019363336047720543
1.5,0.0007753656470703595,0.6,0.0003230298469778743,0.3,0.00024125600252529234,0.19999999999999998,0.0002188883186789956,0.15,0.00020849454711073696,0.12000000000000001,0.00020249669358425514,0.09999999999999999,0.0001985942847881738,0.075,0.00019382185382532031
1.52,0.0007905987471947516,0.608,0.0003255539655050341,0.304,0.00024219676756860196,0.20266666666666666,0.00021945698269981644,0.152,0.00020890066276225887,0.1216,0.00020281217899442675,0.10133333333333333,0.00019885208961987948,0.076,0.00019401053065146826
